일자,종가,전일대비,등락률,거래량,개인,외국인,기관계,기관,,,,,,,기타법인,기타외국인
,,,,,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,,
2026-03-23,933000,74000,-7.35,7271704,1589460,-152891,-1526039,-1346695,-30,-83955,3902,-256,-12876,-86129,80869,8601
2026-03-20,1006000,7000,-0.69,5518536,761183,-755169,-37309,24590,-1110,-47073,-84,-20,-3955,-9657,29384,1911
2026-03-19,1001000,55000,-5.21,6412761,935842,-696577,-286381,-275658,4974,63856,4281,1226,-10115,-74945,36894,10222
2026-03-18,1060000,90000,9.28,6986660,-1626652,676686,998808,1078977,-11705,-7176,753,-200,4549,-66390,-44035,-4807
2026-03-17,976000,2000,0.21,6313951,346893,-384748,50244,-22416,-14467,129161,-20,1585,6718,-50317,-12467,78
2026-03-16,977000,67000,7.36,6364678,-676475,409859,267039,192700,2293,8357,11,722,1808,61148,3421,-3844
2026-03-13,915000,15000,-1.61,5490815,621070,-219773,-441610,-188303,4573,-283800,547,25,-2079,27427,36037,4276
2026-03-12,935000,20000,-2.09,5511513,1143227,-745872,-446973,-514220,4552,-4479,91,-577,4402,63258,45819,3799
2026-03-11,950000,12000,1.28,6800772,-279977,76279,204674,200728,-7795,7724,1235,39,-9800,12543,93,-1069
2026-03-10,939000,103000,12.32,8850054,-1514098,789968,793276,684530,-4480,65907,-128,67,27512,19868,-72661,3515
2026-03-09,831000,93000,-10.06,11249631,1838152,-1512736,-468291,-322224,7814,-68278,-2610,299,-38359,-44933,148246,-5371
2026-03-06,914000,27000,-2.87,6166431,893099,-627443,-291284,-121343,3520,-57829,-267,-77,-61876,-53412,25367,261
2026-03-05,953000,104000,12.25,10992400,91051,209875,-304581,-236826,1233,5639,-3221,-176,-18122,-53108,-2376,6031
2026-03-04,900000,39000,-4.15,16575182,-250717,-462208,632822,449986,31237,-18420,-6722,3955,46893,125893,83731,-3628
2026-03-03,897000,164000,-15.46,12578214,1544510,-1149248,-461536,-421458,10592,-5337,-6591,-158,40463,-79047,58306,7968
2026-02-27,1063000,36000,-3.28,9846097,2584517,-2561201,-92223,55058,-7758,-53370,2638,-276,-63360,-25155,47415,21492
2026-02-26,1109000,91000,8.94,8066514,394381,-866254,454940,591673,-19306,-8683,-4496,-659,1749,-105338,16335,598
2026-02-25,1031000,26000,2.59,5725607,412062,-439650,-3417,154042,-25176,-81121,602,-1313,-315,-50136,29052,1953
2026-02-24,1009000,58000,6.1,6494669,-1006088,332235,688497,700680,-6584,-342,-1017,-283,24397,-28354,-11555,-3089
2026-02-23,956000,7000,0.74,5821098,397842,-112682,-299388,-188448,-23762,-32511,73,275,-36883,-18132,9115,5113
2026-02-20,943000,49000,5.48,8437331,-949531,810157,164955,650222,-19548,-169387,1176,11,-344916,47397,-18455,-7126
2026-02-19,890000,10000,1.14,5319993,-169115,-129048,308824,233340,-12100,33671,683,-609,8781,45058,-9750,-911
2026-02-13,886000,2000,-0.23,5142348,27633,7815,-21586,-62593,-7763,5866,-1022,1121,-4687,47492,-16652,2790
2026-02-12,894000,34000,3.95,6734663,-1336080,858068,465823,407828,-8561,25951,1916,1983,7125,29581,15865,-3676
2026-02-11,860000,16000,-1.83,4417213,536444,-488984,-65994,-41363,-189,-12482,-812,26,-25032,13858,17337,1197
2026-02-10,881000,6000,-0.68,4902140,-164401,82379,72562,101855,-7085,1534,337,-1803,-13441,-8835,7570,1890
2026-02-09,869000,30000,3.58,6314091,-929242,-111140,1012771,874651,-7159,26580,1845,400,2155,114299,27814,-203
2026-02-06,858000,16000,1.9,8703089,753643,-1214603,445894,299918,7510,31415,1723,3806,63012,38510,15151,-85
2026-02-05,854000,46000,-5.11,8446076,2798260,-2016160,-880458,-864010,6656,-33766,5682,1306,19595,-15921,83510,14848
2026-02-04,899000,8000,-0.88,5626527,809921,-1042172,202212,295031,-5410,-79792,3077,-7435,9446,-12705,26478,3561
2026-02-03,912000,82000,9.88,7906531,-592472,-506755,1053469,771734,5986,95630,812,769,72038,106500,34031,11727
2026-02-02,840000,69000,-7.59,11353860,2649008,-2034621,-688094,-818835,31393,4896,3228,465,73793,16966,63094,10613
2026-01-30,904000,43000,4.99,11084536,425469,-360486,-69867,-30326,-45600,7331,-1678,-2789,-4597,7792,5076,-192
2026-01-29,855000,14000,1.66,10144146,1043431,-975999,-114112,64319,-20951,-20291,-3447,-46,-23049,-110647,46859,-179
2026-01-28,862000,62000,7.75,11446049,455999,-314197,-164603,-103046,-35467,-26447,-3257,3942,14199,-14527,18139,4662
2026-01-27,805000,69000,9.38,8348749,-1181267,692041,513992,415367,-18174,27248,3654,9977,24795,51125,-18074,-6692
2026-01-26,740000,27000,-3.52,4582237,1050580,-540521,-542855,-445296,-865,-19700,-5006,-8104,-29671,-34213,26115,6681
2026-01-23,764000,9000,1.19,4881564,-353319,-2906,347267,356446,2869,-888,18,-3708,-35640,28170,9686,-728
2026-01-22,760000,20000,2.7,5424107,-370564,15509,334265,230262,-20281,-4619,698,-1628,29276,100557,23872,-3082
2026-01-21,745000,2000,0.27,6677197,139273,-158914,8865,-25053,-11904,13663,199,400,-7081,38641,15329,-4553
2026-01-20,730000,34000,-4.45,4865327,454863,-222011,-229869,-115969,-9376,-27199,-2037,-3508,-41251,-30529,-7766,4783
2026-01-19,757000,1000,0.13,5203696,-413470,-22984,406329,287297,-7058,-1108,2963,1955,-24032,146312,28365,1760
2026-01-16,758000,9000,1.2,5304078,-99352,-243806,331784,298864,-13952,-19794,-1499,1449,25078,41638,14095,-2721
2026-01-15,756000,14000,1.89,4419317,-163090,-259768,435132,473396,-6790,-18087,-4474,-2488,338,-6763,-10550,-1724
2026-01-14,736000,2000,-0.27,6041172,133497,-386297,251996,236316,-3475,-13818,41,-759,38203,-4512,1317,-513
2026-01-13,739000,10000,-1.34,5209718,863383,-929031,58458,89831,-11647,12088,3513,-489,-25601,-9237,10469,-3279
2026-01-12,745000,1000,0.13,4865558,-24845,5353,-9434,145070,-27586,-22765,1014,-2667,17807,-120307,27764,1162
2026-01-09,746000,10000,-1.32,6182469,1030268,-1253366,181480,341790,-25507,-37950,3927,-569,-20351,-79860,34631,6987
2026-01-08,763000,21000,2.83,9059190,421314,-146554,-278487,-130907,-35051,-17628,-805,-805,-8827,-84464,10413,-6686
2026-01-07,741000,15000,2.07,8061518,-637247,777751,-127828,9729,-40487,-45305,-103,-116,21889,-73435,-16144,3468
2026-01-06,714000,18000,2.59,7358971,-296178,399685,-102305,-74645,9126,-8617,2133,-2049,-9481,-18772,-2742,1540
2026-01-05,700000,23000,3.4,6573355,614,51757,-52803,21074,-38017,-54494,2038,-3851,-17076,37523,3287,-2855
2026-01-02,678000,27000,4.15,5707505,202450,-126347,-89858,-147135,-22858,15825,854,-433,55969,7920,31068,-17313
2025-12-30,652000,12000,1.88,5789931,339855,-158023,-200589,-307244,9556,54032,-20,683,14144,28260,4280,14477
2025-12-29,635000,36000,6.01,6460022,-106238,415795,-261522,-317126,-9587,35166,2163,-529,70885,-42494,-44757,-3278
2025-12-26,599000,11000,1.87,4243548,-1610353,1284414,319114,297148,-11089,-60994,-1,-19655,19003,94702,7003,-178
2025-12-24,588000,4000,0.68,2160697,-879200,720103,166819,165874,-2026,-17807,-255,-1836,-3480,26349,-5852,-1870
2025-12-23,584000,4000,0.69,2011188,-443815,156887,296850,346008,-6769,-28170,34,-38,4504,-18719,-16317,6395
2025-12-22,580000,33000,6.03,2878464,-1564175,695157,884279,858971,-4363,-16533,-3529,-620,-148,50501,-11887,-3374
2025-12-19,547000,5000,-0.91,3440005,-174550,-436625,612047,522083,-8476,310,-463,229,-2763,101127,1475,-2347
2025-12-18,552000,1000,0.18,2959059,-456566,283792,192569,198986,-930,571,-3,-1107,-7005,2057,-15021,-4774
2025-12-17,551000,21000,3.96,2692626,-113281,43181,41873,41656,1798,17038,,160,-15839,-2940,31066,-2839
2025-12-16,530000,24000,-4.33,3287998,841714,-714424,-151894,10225,-13888,-25696,-4964,201,-37584,-80188,17688,6916
2025-12-15,554000,17000,-2.98,2482125,271286,118489,-395426,-318037,363,-36122,-683,113,10131,-51191,4707,944
2025-12-12,571000,6000,1.06,2646148,-247896,-24966,252823,510218,-5475,-105796,-150,711,-6656,-140029,20283,-244
2025-12-11,565000,22000,-3.75,4021907,449867,-282270,-185201,227747,-33592,-265892,2086,332,-52399,-63483,14156,3448
2025-12-10,587000,21000,3.71,6682961,-1352770,1350641,-10298,-5968,285,16465,869,-10,25387,-47326,17475,-5048
2025-12-09,571000,6000,-1.04,4328383,85272,-34041,-75009,-90805,1379,3088,-188,-3718,-19845,35080,17649,6129
2025-12-08,574000,30000,5.51,7449914,-941939,660653,246911,27318,31091,35728,-3928,2242,16732,137728,50399,-16024
2025-12-05,543000,1000,0.18,4961342,127250,-218799,137379,200089,7898,-10335,4047,3236,-51126,-16430,-47925,2095
2025-12-04,538000,14000,-2.54,4623856,1072283,-818333,-259404,-128437,1691,-26005,41,-25,-48469,-58200,1123,4331
2025-12-03,552000,6000,-1.08,4419336,545575,-609707,31637,,14638,-6725,428,145,-8359,31510,28519,3976
2025-12-02,563000,25000,4.65,4415553,-721753,505589,229700,92803,40425,42026,23,1077,15163,38183,-5532,-8004
2025-12-01,538000,8000,1.51,4888346,-809317,786681,17350,-58711,20340,34435,-371,-1405,-11086,34148,3975,1311
2025-11-28,537000,7000,-1.29,4448762,814811,-1091850,278305,277695,-1785,6725,-156,-21,-1727,-2426,-6198,4932
2025-11-27,546000,22000,4.2,6752188,-864347,515564,402746,205377,408,77890,332,-853,5156,114436,-36665,-17298
2025-11-26,527000,8000,1.54,8750955,-8518,-610850,574645,486576,6607,52637,-528,-1768,28106,3015,48066,-3343
2025-11-25,514000,6000,-1.15,7307011,-105902,-63513,188574,203288,1930,-38820,-177,183,-30517,52687,-21471,2312
2025-11-24,520000,1000,-0.19,9725266,-454252,-615432,1041623,1034759,-1279,-35106,14,33,29553,13649,30177,-2116
2025-11-21,516000,55000,-9.63,12169132,2645823,-3007996,294470,89163,10474,-42032,1243,-3764,47517,191869,43704,23999
2025-11-20,568000,6000,1.07,9072761,533338,-638082,137426,244243,-2141,-16034,2198,308,-28050,-63098,-36874,4192
2025-11-19,573000,3000,0.53,8117199,1054949,-1193301,69680,24951,-137,38658,-75,-4733,-15390,26406,65926,2746
2025-11-18,577000,29000,-4.79,6682376,1300242,-1062752,-321294,-196538,6557,1177,786,2186,1356,-136818,77886,5918
2025-11-17,597000,37000,6.61,7993516,-833870,670599,132746,163154,-9517,19715,-164,756,-15029,-26169,29607,918
2025-11-14,564000,48000,-7.84,10118303,3440761,-2755340,-686686,-514815,5232,-71369,-3658,-3357,-36027,-62692,-8712,9977
2025-11-13,609000,8000,-1.3,5353629,462753,410076,-871914,-759560,-11141,-14163,206,-43,-19080,-68133,-5734,4819
2025-11-12,620000,1000,0.16,4841018,555187,-815561,263315,301726,-4061,-5187,3779,281,-19553,-13670,-7788,4847
2025-11-11,612000,6000,0.99,9922488,579848,-718947,58850,155475,-17764,-14803,-1140,6749,-10427,-59240,78056,2193
2025-11-10,612000,32000,5.52,8095069,-610472,-299312,875660,793798,-23155,-2811,5319,852,18155,83502,37289,-3165
2025-11-07,572000,21000,-3.54,8153651,381338,-530349,96957,204769,449,-38529,-2155,6081,-12755,-60903,50727,1327
2025-11-06,596000,17000,2.94,9148761,78670,-711712,639065,549610,-13660,35355,5724,-2982,-29298,94316,-8644,2621
2025-11-05,580000,6000,-1.02,15412771,1227172,-2241076,759643,468913,-3734,40777,-1269,1445,77577,175934,251598,2663
2025-11-04,585000,35000,-5.65,10406538,2571855,-2723563,13309,426,-13497,-6863,-1535,-409,55430,-20243,118110,20289
2025-11-03,629000,70000,12.52,10534967,-231728,-250903,475496,134638,-26260,34184,-397,989,279660,52682,7348,-213
2025-10-31,560000,8000,-1.41,5478469,797184,-1136348,318865,521940,-13149,-60140,-2493,65,-146851,19493,13608,6691
2025-10-30,565000,7000,1.25,8661112,736203,-531620,-210361,79603,-42147,-39170,-731,-565,-95592,-111759,-426,6204
2025-10-29,568000,47000,9.02,9599491,-125239,-261029,320857,556804,-65121,-136841,2863,-168,-86754,50074,64118,1293
2025-10-28,519000,16000,-2.99,8539380,2378068,-2533019,86448,194674,-19383,-1594,1315,-45,-57314,-31205,66917,1586
2025-10-27,553000,43000,8.43,6978151,533650,-561689,-85,87332,-56292,-13642,-480,-13,-8424,-8566,21695,6429
2025-10-24,513000,34500,7.21,7231421,-706844,145285,552397,458972,-45290,-37928,519,-307,-1867,178298,9254,-92
2025-10-23,477000,4500,-0.93,5212490,461861,-590553,131679,183867,-5430,-21464,-83,-259,-7562,-17390,330,-3317
2025-10-22,481000,2000,0.42,5508761,889620,-1158708,245552,207605,-10482,31431,244,-1102,3837,14019,20028,3508
2025-10-21,486000,500,0.1,6655407,1014132,-802961,-165941,55695,-45032,-74875,245,1866,21809,-125649,-47785,2555
2025-10-20,490000,24500,5.26,5522463,291634,-481389,183884,270000,-48852,-38815,380,1096,-9413,9488,7185,-1314
2025-10-17,454500,2000,0.44,7680258,335521,-543566,206155,220503,-49923,35540,-1385,552,8774,-7906,-136,2026
2025-10-16,455000,32500,7.69,6615148,-605381,445737,130223,143147,-60735,25234,-4271,6,6188,20654,33024,-3603
2025-10-15,425500,14000,3.4,4040292,305132,-779595,448354,345824,-14040,16500,912,-3011,22243,79926,25983,126
2025-10-14,403500,11500,-2.77,6291923,188498,-72373,-133626,-123932,-21863,-35254,-977,1058,11042,36300,12646,4855
2025-10-13,423500,4500,-1.05,6698518,1251435,-1410703,85077,107340,-46638,40468,1104,498,-2630,-15065,61788,12403
