일자,종가,전일대비,등락률,거래량,개인,외국인,기관계,기관,,,,,,,기타법인,기타외국인
,,,,,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,,
2026-03-31,806000,67000,-7.67,11832260,1201021,-1390189,156212,164411,9769,26116,2359,-1833,-22393,-22217,32556,400
2026-03-30,877000,45000,-4.88,7526085,1387694,-1475535,19676,46801,10267,-1592,851,374,-37732,707,57129,11036
2026-03-27,906000,27000,-2.89,7669917,1175058,-1336696,141266,129838,4024,27686,590,631,4388,-25891,12623,7749
2026-03-26,935000,60000,-6.03,8093472,1575366,-1066233,-518790,-210548,-2469,-104257,-4040,-1845,-66615,-129016,-1787,11444
2026-03-25,1004000,18000,1.83,7425847,-445778,-375419,846742,905548,-5789,-15023,-585,-810,-16109,-20490,-25314,-231
2026-03-24,987000,54000,5.79,7418975,-418860,-207539,648654,612080,-6490,-904,-946,353,-3620,48181,-15815,-6440
2026-03-23,933000,74000,-7.35,7271704,1589460,-152891,-1526039,-1346695,-30,-83955,3902,-256,-12876,-86129,80869,8601
2026-03-20,1006000,7000,-0.69,5518536,761183,-755169,-37309,24590,-1110,-47073,-84,-20,-3955,-9657,29384,1911
2026-03-19,1001000,55000,-5.21,6412761,935842,-696577,-286381,-275658,4974,63856,4281,1226,-10115,-74945,36894,10222
2026-03-18,1060000,90000,9.28,6986660,-1626652,676686,998808,1078977,-11705,-7176,753,-200,4549,-66390,-44035,-4807
2026-03-17,976000,2000,0.21,6313951,346893,-384748,50244,-22416,-14467,129161,-20,1585,6718,-50317,-12467,78
2026-03-16,977000,67000,7.36,6364678,-676475,409859,267039,192700,2293,8357,11,722,1808,61148,3421,-3844
2026-03-13,915000,15000,-1.61,5490815,621070,-219773,-441610,-188303,4573,-283800,547,25,-2079,27427,36037,4276
2026-03-12,935000,20000,-2.09,5511513,1143227,-745872,-446973,-514220,4552,-4479,91,-577,4402,63258,45819,3799
2026-03-11,950000,12000,1.28,6800772,-279977,76279,204674,200728,-7795,7724,1235,39,-9800,12543,93,-1069
2026-03-10,939000,103000,12.32,8850054,-1514098,789968,793276,684530,-4480,65907,-128,67,27512,19868,-72661,3515
2026-03-09,831000,93000,-10.06,11249631,1838152,-1512736,-468291,-322224,7814,-68278,-2610,299,-38359,-44933,148246,-5371
2026-03-06,914000,27000,-2.87,6166431,893099,-627443,-291284,-121343,3520,-57829,-267,-77,-61876,-53412,25367,261
2026-03-05,953000,104000,12.25,10992400,91051,209875,-304581,-236826,1233,5639,-3221,-176,-18122,-53108,-2376,6031
2026-03-04,900000,39000,-4.15,16575182,-250717,-462208,632822,449986,31237,-18420,-6722,3955,46893,125893,83731,-3628
2026-03-03,897000,164000,-15.46,12578214,1544510,-1149248,-461536,-421458,10592,-5337,-6591,-158,40463,-79047,58306,7968
2026-02-27,1063000,36000,-3.28,9846097,2584517,-2561201,-92223,55058,-7758,-53370,2638,-276,-63360,-25155,47415,21492
2026-02-26,1109000,91000,8.94,8066514,394381,-866254,454940,591673,-19306,-8683,-4496,-659,1749,-105338,16335,598
2026-02-25,1031000,26000,2.59,5725607,412062,-439650,-3417,154042,-25176,-81121,602,-1313,-315,-50136,29052,1953
2026-02-24,1009000,58000,6.1,6494669,-1006088,332235,688497,700680,-6584,-342,-1017,-283,24397,-28354,-11555,-3089
2026-02-23,956000,7000,0.74,5821098,397842,-112682,-299388,-188448,-23762,-32511,73,275,-36883,-18132,9115,5113
2026-02-20,943000,49000,5.48,8437331,-949531,810157,164955,650222,-19548,-169387,1176,11,-344916,47397,-18455,-7126
2026-02-19,890000,10000,1.14,5319993,-169115,-129048,308824,233340,-12100,33671,683,-609,8781,45058,-9750,-911
2026-02-13,886000,2000,-0.23,5142348,27633,7815,-21586,-62593,-7763,5866,-1022,1121,-4687,47492,-16652,2790
2026-02-12,894000,34000,3.95,6734663,-1336080,858068,465823,407828,-8561,25951,1916,1983,7125,29581,15865,-3676
