일자,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,기타법인
2026-01-22,11481,-11207,-2608,1977,-1814,-695,25,22,-2130,7,2240
2026-01-21,-10428,3538,4550,4512,-238,70,-68,34,-533,774,2474
2026-01-20,9051,-4437,-5870,-1889,-371,-625,52,-133,-1680,-1223,1186
2026-01-19,-6679,4685,-567,1624,-414,-422,42,10,-1286,-122,2487
2026-01-16,-7745,2031,3958,5882,-719,-55,-21,-42,-1189,102,1791
2026-01-15,-14880,828,12366,14345,-317,-155,-47,-24,-383,-1054,1945
2026-01-14,-929,-7293,5970,6142,-394,-291,4,62,161,288,2170
2026-01-13,-10126,-1904,9799,8733,-649,1328,104,17,348,-84,2170
2026-01-12,2061,-6515,1926,5733,-1250,222,46,-56,-229,-2541,2527
2026-01-09,5477,-19891,11465,11545,-387,-1,126,6,734,-556,2868
2026-01-08,15314,-2883,-15022,-10125,-361,-1480,15,25,-1184,-1911,2540
2026-01-07,-1335,12871,-11097,-4656,-1350,-2119,54,42,-1251,-1818,-447
2026-01-06,5976,-7052,-167,1286,-173,-476,60,-40,-489,-334,1047
2026-01-05,-13495,21039,-7639,-1728,-1415,-2347,84,-19,-1164,-1050,182
2026-01-02,-5684,7907,-2594,-1560,-478,-520,71,-55,-254,203,464
2025-12-30,7200,-3515,-4007,-2759,-6,-85,26,7,-1166,-25,196
2025-12-29,3803,3439,-5975,-6121,-434,325,-5,-14,-68,342,-1252
2025-12-26,-24353,18494,4907,5890,-315,-256,9,-135,-1297,1011,991
2025-12-24,-7185,5194,1916,2557,-115,-213,13,,72,-399,59
2025-12-23,-12501,8926,3972,5476,-276,-1011,-8,22,-564,333,-396
2025-12-22,-27711,11277,16827,16932,-209,-296,6,-27,11,409,-246
2025-12-19,-761,-7884,8520,9508,-359,-303,2,-4,-782,458,230
2025-12-18,3736,-2772,-1244,1813,-275,-585,9,-14,-1411,-781,258
